strategy,n_seeds,final_best_mean,final_best_std,final_best_max,final_best_min,cum_hits_mean,cum_hits_std,model_spearman_mean,batch_mean_fitness,frac_above_wt,n_dead_per_batch,touch_pos41,pred_mae,success_rate,n_success,assays_to_target
Rule-Agent+KB,8,8.76196565571,0.0,8.76196565571,8.76196565571,7.5,2.0,0.4720942014710154,4.266066974260437,0.9756944444444445,0.0,7.958333333333333,1.13941801130412,1.0,8,28.5
Rule-Agent,8,8.67236394926625,0.2534318969290479,8.76196565571,8.04515200416,9.0,1.772810520855837,0.47465995946539125,4.400903700113122,0.9826388888888888,0.08333333333333333,6.708333333333333,1.1045359607914096,0.875,7,18.857142857142858
Model-Greedy,8,6.9270129303775,1.5222251967453972,8.76196565571,5.77203220934,5.75,2.712405363721075,0.47261584124019923,4.366037667505868,1.0,0.0,7.791666666666667,0.8506404300363747,0.375,3,36.0
Random,8,5.3907325057,0.0,5.3907325057,5.3907325057,0.0,0.0,0.49400695084647567,0.0943285145254023,0.03472222222222222,11.083333333333334,11.5,0.07150378790865088,0.0,0,
