round,strategy,n_measured,n_new,best_fitness,best_variant,batch_max_fitness,batch_mean_fitness,batch_median_fitness,n_above_wt,n_hits_in_batch,hit_rate,cum_hits,n_above_wt_in_batch,frac_above_wt_in_batch,n_dead_in_batch,batch_pred_mae,n_unique_p40,touch_pos39,touch_pos40,touch_pos41,touch_pos54,model_spearman,model_recall@100,improvement_over_start,backend,n_rejected,seed
1,Rule-Agent,2180,12,8.04515200416,FYAA,8.04515200416,4.531618337786667,4.20849226203,230,3,0.25,3,12,1.0,0,1.2941838913371797,5,11,10,6,12,0.48082217617979844,0.42,2.6544194984600002,offline,0.0,66
2,Rule-Agent,2192,12,8.76196565571,FWAA,8.76196565571,4.746402639710172,4.380728045015,241,4,0.3333333333333333,7,11,0.9166666666666666,1,1.3761586098827365,4,12,12,8,12,0.48558491327692926,0.45,3.37123315001,offline,0.0,66
3,Rule-Agent,2204,12,8.76196565571,FWAA,6.02748854644,4.303388254686666,4.60040754027,253,3,0.25,10,12,1.0,0,0.7820534274965255,5,11,12,8,12,0.4864968063759242,0.41,3.37123315001,offline,0.0,66
0,Rule-Agent,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.47403976486379407,0.48,0.0,,,77
1,Rule-Agent,2180,12,8.76196565571,FWAA,8.76196565571,4.530845911855834,4.17852372812,230,3,0.25,3,12,1.0,0,1.2175812722898305,5,11,10,6,12,0.4720851100890237,0.46,3.37123315001,offline,0.0,77
2,Rule-Agent,2192,12,8.76196565571,FWAA,8.04515200416,5.058464870487501,5.090759581575,242,5,0.4166666666666667,8,12,1.0,0,1.2383871728127713,4,12,12,7,12,0.46399259048056096,0.49,3.37123315001,offline,0.0,77
3,Rule-Agent,2204,12,8.76196565571,FWAA,6.98133337097,3.773274461602508,3.83937573708,252,4,0.3333333333333333,12,10,0.8333333333333334,1,0.9894162419675822,4,12,12,8,12,0.4736501856160551,0.45,3.37123315001,offline,0.0,77
0,Rule-Agent,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.46623584329714446,0.41,0.0,,,88
1,Rule-Agent,2180,12,8.04515200416,FYAA,8.04515200416,4.465033820720833,3.962948564915,230,3,0.25,3,12,1.0,0,1.1323965801888505,5,10,10,5,12,0.4746292053343139,0.43,2.6544194984600002,offline,0.0,88
2,Rule-Agent,2192,12,8.04515200416,FYAA,6.98133337097,4.313754600315833,4.215477369605,242,2,0.16666666666666666,5,12,1.0,0,1.0880744770038933,4,12,12,6,12,0.47152906319427046,0.46,2.6544194984600002,offline,0.0,88
