strategy,n_seeds,final_best_mean,final_best_std,final_best_max,final_best_min,cum_hits_mean,cum_hits_std,model_spearman_mean,batch_mean_fitness,frac_above_wt,n_dead_per_batch,touch_pos41,pred_mae,success_rate,n_success,assays_to_target
Rule-Agent+KB-static,8,8.76196565571,0.0,8.76196565571,8.76196565571,8.125,1.5526475085202969,0.4744277397605828,4.27510077826634,0.96875,0.08333333333333333,6.25,1.0061261161967197,1.0,8,18.0
Rule-Agent+KB,8,8.76196565571,0.0,8.76196565571,8.76196565571,7.5,2.0,0.4720942014710154,4.266066974260437,0.9756944444444445,0.0,7.958333333333333,1.13941801130412,1.0,8,28.5
