model,model_cn,val_spearman,val_pearson,val_mse,val_r2,test_spearman,test_pearson,test_mse,test_mae,test_r2,test_recall@10,test_recall@50,test_recall@100,test_max_true_in_top100,test_ndcg@100
xgboost,XGBoost 梯度提升树,0.9024527011576141,0.9598064766166425,0.047002369028034965,0.9205320404707052,0.48934627574951944,0.7047061484787607,0.15524627537946586,0.2870766270380971,0.2889317954015709,0.0,0.06,0.19,0.9060737401549946,0.9272192331639024
extratrees,极端随机树,0.8971498812777354,0.9550697848858873,0.052266605957371176,0.9116316770229909,0.4625453647203929,0.7220275588889401,0.12566561462994189,0.2528155205661255,0.42441889342428674,0.0,0.06,0.15,0.793171000279133,0.9061472681637945
randomforest,随机森林,0.8911276851743878,0.9447722415567262,0.06531719361868898,0.8895667557530751,0.45623878029843434,0.6439059924007593,0.16327525902619042,0.29622978732899397,0.2521569679703053,0.0,0.02,0.03,0.7620805066185661,0.8891485777925219
mlp,多层感知机 MLP,0.8578733449414451,0.9179715380380449,0.09397491347498312,0.8411145060295879,0.45864162448930146,0.629150279836421,0.2459658626455369,0.3937007092815023,-0.12658744254162801,0.0,0.04,0.11,0.9430969226446975,0.8979110596964898
ridge,Ridge 线性回归,0.8504593685147485,0.8660962042110273,0.14911737431047078,0.7478839107077535,0.47200378090563155,0.524721677301325,0.6482159974937358,0.6275854736359162,-1.9689973843379973,0.0,0.0,0.02,0.7364454725360645,0.868700321291477
